Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220422,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220616,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140527,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150709,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160917,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170817,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180815,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180926,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190621,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190709,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190724,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200617,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210904,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220602,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220906,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220914,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230513,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140526,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150615,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150721,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20151005,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170616,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170819,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180825,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20191023,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200719,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200729,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200814,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210609,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210709,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210823,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230702,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230903,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140525,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140531,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140617,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140715,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140921,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140924,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150818,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150911,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160612,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160902,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170517,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170529,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190406,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190605,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
